INFO  - 2016-03-08 18:53:27.224; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-03-08 18:53:27.237; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-03-08 18:53:27.239; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/elele/solr/solr-4.7.2/example/solr/collection1/conf/elevate.xml
INFO  - 2016-03-08 18:53:27.269; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-03-08 18:53:27.271; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@2dcf0c3[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-03-08 18:53:27.271; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-03-08 18:53:27.274; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/elele/solr/solr-4.7.2/example
INFO  - 2016-03-08 18:53:27.275; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-03-08 18:53:27.325; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=53 
INFO  - 2016-03-08 18:53:27.326; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-03-08 18:53:27.326; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-03-08 18:53:27.327; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-03-08 18:53:27.327; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2016-03-08 18:53:27.328; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2016-03-08 18:53:27.329; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2016-03-08 18:53:27.336; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-03-08 18:53:27.340; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@2dcf0c3[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-03-08 18:54:06.861; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2016-03-08 18:54:06.863; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/elele/solr/solr-4.7.2/example/solr-webapp/webapp/},/Users/elele/solr/solr-4.7.2/example/webapps/solr.war
INFO  - 2016-03-08 18:54:07.867; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=483585970
INFO  - 2016-03-08 18:54:07.868; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@32f3e2f5
INFO  - 2016-03-08 18:54:07.869; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2016-03-08 18:54:07.869; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
